"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00673205986250802,0.00581937274481252,0.00777642985709197,103569
"m_age",1.14575070154809,1.11967053756736,1.17258705650807,103569
"genderFemale",1.05690110695635,1.00077422373936,1.11612779040599,103569
"ethnicityASIAN",1.33656382674732,1.08922760258683,1.62497830782075,103569
"ethnicityBLACK",0.99834815378,0.909536761713227,1.09412052844171,103569
"ethnicityHISPANIC",1.0211849508702,0.877198505518219,1.18281173027551,103569
"ethnicityOTHER",1.10444286720906,0.986404620551226,1.23348568129014,103569
"charlson",1.10518451246401,1.09179441693088,1.11862420773381,103569
"cns_24Abnormal",3.48492212210477,3.27407017167036,3.70914796227781,103569
"resp_24Abnormal",2.11762823231749,1.9881820736723,2.25522471124706,103569
"coag_24Abnormal",2.95942094632307,2.61472683321598,3.34314349867057,103569
"liver_24Abnormal",2.86896498373098,2.41004233035207,3.40307049927023,103569
"cv_24Abnormal",2.13908049518632,1.992056898121,2.29583914682982,103569
"renal_24Abnormal",2.37056413786608,2.22102652200247,2.52909745914334,103569
