"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0292128630995224,0.0195678231250549,0.0432507551036897,6042
"m_age",1.11162918958997,1.04348748229235,1.18503141706798,6042
"genderFemale",1.0131074958634,0.871534176059632,1.1769079482189,6042
"ethnicityASIAN",1.28654900768956,0.758978514199498,2.07890431082583,6042
"ethnicityBLACK",0.877166694581003,0.690595078252247,1.10460923709326,6042
"ethnicityHISPANIC",1.08590354192572,0.724875253695494,1.58205482065237,6042
"ethnicityOTHER",1.01601362059277,0.756557017276441,1.34507646175647,6042
"charlson",1.14348951563229,1.10317640453764,1.18483878107053,6042
"cns_24",1.10225202171656,1.04634010408134,1.16136507698076,6042
"resp_24",1.03855511924033,0.993771181559381,1.08546738822214,6042
"coag_24",1.13308266679248,1.03922891044864,1.2336243432281,6042
"liver_24",1.28928845833846,1.16749510853385,1.42124741132041,6042
"cv_24",1.16012165493119,1.08100898728835,1.24386824132384,6042
"renal_24",1.03851532131901,0.982700567447857,1.09665855038454,6042
