"","OR","2.5 %","97.5 %"
"(Intercept)",0.00271198121212167,0.00225629183854388,0.00325315313643598
"m_age",1.17640587334255,1.14760290784291,1.20609867169212
"genderFemale",0.998822925783246,0.941598481264294,1.05947544361848
"ethnicityASIAN",1.05160251423059,0.830173370621068,1.31742903991767
"ethnicityBLACK",0.817067995986199,0.741735679282514,0.898723778530494
"ethnicityHISPANIC",0.920636052956254,0.791127657244074,1.06633682252998
"ethnicityOTHER",0.99765947614894,0.879973531732288,1.12780314278776
"sepsis3",1.38788326432627,1.30635930230003,1.47439172306529
"medical",1.36710588997052,1.26501990580036,1.47876170238393
"charlson",1.06312099319931,1.04940355823253,1.07691013469561
"cns_24Abnormal",1.81281912650875,1.69026462181923,1.94438488259729
"cns_24Mechanical Ventilation (MV)",10.3270966429112,9.55218832979579,11.1670213887759
"resp_24Abnormal",1.41738534512257,1.32744947100938,1.51293062188416
"coag_24Abnormal",1.30300055201745,1.22282879027532,1.38805669090767
"liver_24Abnormal",1.66310879286906,1.5279332171821,1.80879157288421
"cv_24Abnormal",1.68001703643709,1.53078223291222,1.84698438581813
"renal_24Abnormal",1.86731208842678,1.75482966741257,1.98738784708633
