"","OR","2.5 %","97.5 %"
"(Intercept)",0.00870098487655048,0.00639607415469125,0.0117692362270332
"m_age",1.27227033749017,1.22472868263252,1.32226816120869
"genderFemale",1.01320378208133,0.907777130875616,1.13055336081303
"ethnicityASIAN",1.02287228257259,0.672836981105246,1.5105545146175
"ethnicityBLACK",0.847385601928887,0.710229076614734,1.00666440130807
"ethnicityHISPANIC",1.1908320359897,0.896887951293657,1.56214717224853
"ethnicityOTHER",0.934196727172095,0.742233180494227,1.16600874235344
"cns_168Abnormal",1.79641709969129,1.54244279767035,2.09564234129686
"cns_168Mechanical Ventilation (MV)",4.21875142897745,3.64678983235472,4.89223822939193
"resp_168Abnormal",0.994700856169676,0.868388088607238,1.13723859214717
"coag_168Abnormal",1.83570763291064,1.63120494606905,2.06503712835779
"liver_168Abnormal",1.52051494296288,1.29718131977796,1.77917409243543
"cv_168Abnormal",1.54081331252297,1.35050035087418,1.76168552692663
"renal_168Abnormal",1.55364312488152,1.38713293820731,1.73985709188689
