"","OR","2.5 %","97.5 %"
"(Intercept)",0.00201684638162513,0.00107674941711783,0.00367950348127675
"m_age",1.35270872460524,1.25949179422133,1.45418310007412
"genderFemale",1.21233211641184,1.01924295893261,1.44180298758254
"ethnicityASIAN",0.565804639627864,0.296080386163256,1.00864543289857
"ethnicityBLACK",0.917668516312602,0.661086360650221,1.2565148031673
"ethnicityHISPANIC",0.901039032971463,0.513319539579824,1.50002964897536
"ethnicityOTHER",1.47598190274724,1.210590306314,1.79640341790391
"sepsis3",1.98351360949779,1.36802919309175,2.96868826647374
"medical",1.72482118112558,1.43561750853718,2.07731167149924
"charlson",1.09106714142984,1.05067268027351,1.13282199148016
"cns_168Abnormal",0.703500528392416,0.560273585528684,0.881021914490823
"cns_168Mechanical Ventilation (MV)",1.98077191658235,1.58138798243039,2.48697220949292
"resp_168Abnormal",1.66664917432113,1.32722144893686,2.09102975552413
"coag_168Abnormal",1.43804105915787,1.18442496758576,1.74319528236224
"liver_168Abnormal",1.46234811670766,1.14424552951539,1.86312254469985
"cv_168Abnormal",1.27963575673487,1.02773813271199,1.60165531270646
"renal_168Abnormal",1.26330440752558,1.04970494896952,1.51992656143184
